site,date,start_hour,value,variable,units,quality,prelim,name 
3135,2015-01-06,13,0.0051,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,14,0.0053,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,15,0.0070,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,16,0.0136,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,17,0.0330,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,18,0.0330,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,19,0.0329,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,20,0.0279,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,21,0.0270,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,22,0.0241,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-06,23,0.0220,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,0,0.0155,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,1,0.0097,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,2,0.0123,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,3,0.0151,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,4,0.0164,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,5,0.0192,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,6,0.0190,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,7,0.0233,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,8,0.0167,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,9,0.0082,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,10,0.0063,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,11,0.0061,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,12,0.0078,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,13,0.0051,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,14,0.0056,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,15,0.0087,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,16,0.0281,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,17,0.0338,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,18,0.0322,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,19,0.0303,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,20,0.0314,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,21,0.0271,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,22,0.0255,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-07,23,0.0261,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,0,0.0247,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,1,0.0212,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,2,0.0098,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,3,0.0110,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2015-01-08,4,0.0151,NO2,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
