site,date,start_hour,value,variable,units,quality,prelim,name 
3135,2021-01-07,6,0.6540,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,7,0.7170,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,8,0.3120,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,9,0.2270,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,10,0.1790,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,11,0.1790,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,12,0.1490,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,13,0.1480,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,14,0.1180,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,15,0.1870,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,16,0.3870,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,17,0.5990,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,18,0.5660,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,19,0.9280,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,20,1.3860,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,21,1.5550,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,22,1.7750,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-07,23,1.8670,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,0,1.4120,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,1,1.0140,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,2,0.7400,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,3,0.6260,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,5,0.5230,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,6,0.8820,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,7,0.9520,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-08,8,0.9370,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
